Day of Week Ending,Lineage Bin,Modeltype,Usa Or Hhsregion,Variant,95CI,Share
08-May-21,Other,weighted,7,Other*,97.3-99.9%,0.993558645
08-May-21,Other,weighted,8,Other*,95.1-98.1%,0.968657792
08-May-21,Other,weighted,9,Other*,94.7-98.5%,0.970424533
08-May-21,Other,weighted,10,Other*,95.4-99.7%,0.98499316
15-May-21,VOC,weighted,USA,B.1.617.2,1.9-3.1%,0.024057858
15-May-21,VOC,weighted,USA,B.1.1.529,,0
15-May-21,VOC,weighted,1,B.1.617.2,1.4-3.9%,0.024413828
15-May-21,VOC,weighted,1,B.1.1.529,,0
15-May-21,VOC,weighted,2,B.1.617.2,1.5-6.9%,0.035546117
15-May-21,VOC,weighted,2,B.1.1.529,,0
15-May-21,VOC,weighted,3,B.1.617.2,0.4-2.0%,0.010230729
15-May-21,VOC,weighted,3,B.1.1.529,,0
15-May-21,VOC,weighted,4,B.1.617.2,0.6-2.7%,0.013809282
15-May-21,VOC,weighted,4,B.1.1.529,,0
15-May-21,VOC,weighted,5,B.1.617.2,0.9-2.7%,0.016547482
15-May-21,VOC,weighted,5,B.1.1.529,,0
15-May-21,VOC,weighted,6,B.1.617.2,1.7-4.4%,0.028747711
15-May-21,VOC,weighted,6,B.1.1.529,,0
15-May-21,VOC,weighted,7,B.1.617.2,0.7-7.2%,0.027410995
15-May-21,VOC,weighted,7,B.1.1.529,,0
15-May-21,VOC,weighted,8,B.1.617.2,4.4-10.9%,0.071794823
15-May-21,VOC,weighted,8,B.1.1.529,,0
15-May-21,VOC,weighted,9,B.1.617.2,2.4-4.9%,0.034934167
15-May-21,VOC,weighted,9,B.1.1.529,,0
15-May-21,VOC,weighted,10,B.1.617.2,0.4-6.1%,0.021127112
15-May-21,VOC,weighted,10,B.1.1.529,,0
15-May-21,Other,weighted,USA,Other*,96.9-98.1%,0.975942135
15-May-21,Other,weighted,1,Other*,96.1-98.6%,0.975586176
15-May-21,Other,weighted,2,Other*,93.1-98.5%,0.964453876
15-May-21,Other,weighted,3,Other*,98.0-99.6%,0.98976928
15-May-21,Other,weighted,4,Other*,97.3-99.4%,0.986190736
15-May-21,Other,weighted,5,Other*,97.3-99.1%,0.983452499
15-May-21,Other,weighted,6,Other*,95.6-98.3%,0.971252263
15-May-21,Other,weighted,7,Other*,92.8-99.3%,0.972589016
15-May-21,Other,weighted,8,Other*,89.1-95.6%,0.928205192
15-May-21,Other,weighted,9,Other*,95.1-97.6%,0.965065837
15-May-21,Other,weighted,10,Other*,93.9-99.6%,0.978872895
22-May-21,VOC,weighted,USA,B.1.617.2,3.2-5.0%,0.039904807
22-May-21,VOC,weighted,USA,B.1.1.529,,0
22-May-21,VOC,weighted,1,B.1.617.2,3.0-6.5%,0.044928335
22-May-21,VOC,weighted,1,B.1.1.529,,0
22-May-21,VOC,weighted,2,B.1.617.2,1.1-10.2%,0.041262124
22-May-21,VOC,weighted,2,B.1.1.529,,0
22-May-21,VOC,weighted,3,B.1.617.2,1.2-3.7%,0.021904318
22-May-21,VOC,weighted,3,B.1.1.529,,0
22-May-21,VOC,weighted,4,B.1.617.2,1.2-3.5%,0.021594467
22-May-21,VOC,weighted,4,B.1.1.529,,0
22-May-21,VOC,weighted,5,B.1.617.2,1.5-4.8%,0.028313225
22-May-21,VOC,weighted,5,B.1.1.529,,0
22-May-21,VOC,weighted,6,B.1.617.2,3.7-8.2%,0.056681413
22-May-21,VOC,weighted,6,B.1.1.529,,0
22-May-21,VOC,weighted,7,B.1.617.2,5.4-30.2%,0.14847146
22-May-21,VOC,weighted,7,B.1.1.529,,0
22-May-21,VOC,weighted,8,B.1.617.2,6.1-11.1%,0.083187394
22-May-21,VOC,weighted,8,B.1.1.529,,0
22-May-21,VOC,weighted,9,B.1.617.2,2.1-6.0%,0.036743082
22-May-21,VOC,weighted,9,B.1.1.529,,0
22-May-21,VOC,weighted,10,B.1.617.2,0.7-7.8%,0.029481687
22-May-21,VOC,weighted,10,B.1.1.529,,0
22-May-21,Other,weighted,USA,Other*,95.0-96.8%,0.960095167
22-May-21,Other,weighted,1,Other*,93.5-97.0%,0.955071688
22-May-21,Other,weighted,2,Other*,89.8-98.9%,0.95873785
22-May-21,Other,weighted,3,Other*,96.3-98.8%,0.97809571
22-May-21,Other,weighted,4,Other*,96.5-98.8%,0.978405535
22-May-21,Other,weighted,5,Other*,95.2-98.5%,0.97168678
22-May-21,Other,weighted,6,Other*,91.8-96.3%,0.943318605
22-May-21,Other,weighted,7,Other*,69.8-94.6%,0.851528525
22-May-21,Other,weighted,8,Other*,88.9-93.9%,0.916812599
22-May-21,Other,weighted,9,Other*,94.0-97.9%,0.963256896
22-May-21,Other,weighted,10,Other*,92.2-99.3%,0.970518291
29-May-21,VOC,weighted,USA,B.1.617.2,5.8-9.3%,0.07417997
29-May-21,VOC,weighted,USA,B.1.1.529,,0
29-May-21,VOC,weighted,1,B.1.617.2,4.1-9.2%,0.06324628
29-May-21,VOC,weighted,1,B.1.1.529,,0
29-May-21,VOC,weighted,2,B.1.617.2,2.1-18.0%,0.075141713
29-May-21,VOC,weighted,2,B.1.1.529,,0
29-May-21,VOC,weighted,3,B.1.617.2,1.0-4.4%,0.022986349
29-May-21,VOC,weighted,3,B.1.1.529,,0
29-May-21,VOC,weighted,4,B.1.617.2,1.7-4.6%,0.02883208
29-May-21,VOC,weighted,4,B.1.1.529,,0
29-May-21,VOC,weighted,5,B.1.617.2,2.7-9.0%,0.05227166
29-May-21,VOC,weighted,5,B.1.1.529,,0
29-May-21,VOC,weighted,6,B.1.617.2,5.4-10.8%,0.078120671
29-May-21,VOC,weighted,6,B.1.1.529,,0
29-May-21,VOC,weighted,7,B.1.617.2,7.8-47.1%,0.234232813
29-May-21,VOC,weighted,7,B.1.1.529,,0
29-May-21,VOC,weighted,8,B.1.617.2,16.1-29.3%,0.222029284
29-May-21,VOC,weighted,8,B.1.1.529,,0
29-May-21,VOC,weighted,9,B.1.617.2,8.2-14.9%,0.112218104
29-May-21,VOC,weighted,9,B.1.1.529,,0
29-May-21,VOC,weighted,10,B.1.617.2,2.2-7.8%,0.043899689
29-May-21,VOC,weighted,10,B.1.1.529,,0
29-May-21,Other,weighted,USA,Other*,90.7-94.2%,0.925820053
29-May-21,Other,weighted,1,Other*,90.8-95.9%,0.93675375
29-May-21,Other,weighted,2,Other*,82.0-97.9%,0.924858272
29-May-21,Other,weighted,3,Other*,95.6-99.0%,0.977013648
29-May-21,Other,weighted,4,Other*,95.4-98.3%,0.971167922
29-May-21,Other,weighted,5,Other*,91.0-97.3%,0.947728336
29-May-21,Other,weighted,6,Other*,89.2-94.6%,0.921879351
29-May-21,Other,weighted,7,Other*,52.9-92.2%,0.765767217
29-May-21,Other,weighted,8,Other*,70.7-83.9%,0.777970731
29-May-21,Other,weighted,9,Other*,85.1-91.8%,0.887781918
29-May-21,Other,weighted,10,Other*,92.2-97.8%,0.956100285
05-Jun-21,VOC,weighted,USA,B.1.617.2,11.5-18.4%,0.14686422
05-Jun-21,VOC,weighted,USA,B.1.1.529,,0
05-Jun-21,VOC,weighted,1,B.1.617.2,3.8-13.6%,0.077131584
05-Jun-21,VOC,weighted,1,B.1.1.529,,0
05-Jun-21,VOC,weighted,2,B.1.617.2,4.9-30.1%,0.142998606
05-Jun-21,VOC,weighted,2,B.1.1.529,,0
05-Jun-21,VOC,weighted,3,B.1.617.2,3.0-9.1%,0.055220816
05-Jun-21,VOC,weighted,3,B.1.1.529,,0
05-Jun-21,VOC,weighted,4,B.1.617.2,3.8-8.9%,0.05969787
05-Jun-21,VOC,weighted,4,B.1.1.529,,0
05-Jun-21,VOC,weighted,5,B.1.617.2,4.6-16.6%,0.094142169
05-Jun-21,VOC,weighted,5,B.1.1.529,,0
05-Jun-21,VOC,weighted,6,B.1.617.2,15.0-23.0%,0.187669069
05-Jun-21,VOC,weighted,6,B.1.1.529,,0
05-Jun-21,VOC,weighted,7,B.1.617.2,31.4-62.0%,0.464848578
05-Jun-21,VOC,weighted,7,B.1.1.529,,0
05-Jun-21,VOC,weighted,8,B.1.617.2,24.4-42.2%,0.328449756
05-Jun-21,VOC,weighted,8,B.1.1.529,,0
05-Jun-21,VOC,weighted,9,B.1.617.2,12.6-30.6%,0.205494404
05-Jun-21,VOC,weighted,9,B.1.1.529,,0
05-Jun-21,VOC,weighted,10,B.1.617.2,4.3-16.2%,0.090626195
05-Jun-21,VOC,weighted,10,B.1.1.529,,0
05-Jun-21,Other,weighted,USA,Other*,81.6-88.5%,0.853135765
05-Jun-21,Other,weighted,1,Other*,86.4-96.2%,0.922868431
05-Jun-21,Other,weighted,2,Other*,69.9-95.1%,0.857001364
05-Jun-21,Other,weighted,3,Other*,90.9-97.0%,0.944779158
05-Jun-21,Other,weighted,4,Other*,91.1-96.2%,0.940302134
05-Jun-21,Other,weighted,5,Other*,83.4-95.4%,0.905857801
05-Jun-21,Other,weighted,6,Other*,77.0-85.0%,0.812330961
05-Jun-21,Other,weighted,7,Other*,38.0-68.6%,0.535151422
05-Jun-21,Other,weighted,8,Other*,57.8-75.6%,0.671550214
05-Jun-21,Other,weighted,9,Other*,69.4-87.4%,0.794505596
05-Jun-21,Other,weighted,10,Other*,83.8-95.7%,0.90937382
12-Jun-21,VOC,weighted,USA,B.1.617.2,22.0-30.8%,0.262358248
12-Jun-21,VOC,weighted,USA,B.1.1.529,,0
12-Jun-21,VOC,weighted,1,B.1.617.2,2.8-8.4%,0.051008377
12-Jun-21,VOC,weighted,1,B.1.1.529,,0
12-Jun-21,VOC,weighted,2,B.1.617.2,20.4-36.1%,0.277262807
12-Jun-21,VOC,weighted,2,B.1.1.529,,0
12-Jun-21,VOC,weighted,3,B.1.617.2,4.6-13.8%,0.083624728
12-Jun-21,VOC,weighted,3,B.1.1.529,,0
12-Jun-21,VOC,weighted,4,B.1.617.2,12.4-21.5%,0.165531054
12-Jun-21,VOC,weighted,4,B.1.1.529,,0
12-Jun-21,VOC,weighted,5,B.1.617.2,14.1-24.2%,0.187937811
12-Jun-21,VOC,weighted,5,B.1.1.529,,0
12-Jun-21,VOC,weighted,6,B.1.617.2,21.2-37.7%,0.289542973
12-Jun-21,VOC,weighted,6,B.1.1.529,,0
12-Jun-21,VOC,weighted,7,B.1.617.2,62.5-79.9%,0.717715442
12-Jun-21,VOC,weighted,7,B.1.1.529,,0
12-Jun-21,VOC,weighted,8,B.1.617.2,41.4-63.1%,0.523007035
12-Jun-21,VOC,weighted,8,B.1.1.529,,0
12-Jun-21,VOC,weighted,9,B.1.617.2,20.6-38.9%,0.291540354
12-Jun-21,VOC,weighted,9,B.1.1.529,,0
12-Jun-21,VOC,weighted,10,B.1.617.2,4.4-27.4%,0.129126281
12-Jun-21,VOC,weighted,10,B.1.1.529,,0
12-Jun-21,Other,weighted,USA,Other*,69.2-78.0%,0.737641752
12-Jun-21,Other,weighted,1,Other*,91.6-97.2%,0.948991597
12-Jun-21,Other,weighted,2,Other*,63.9-79.6%,0.722737193
12-Jun-21,Other,weighted,3,Other*,86.2-95.4%,0.916375279
12-Jun-21,Other,weighted,4,Other*,78.5-87.6%,0.834468961
12-Jun-21,Other,weighted,5,Other*,75.8-85.9%,0.812062204
12-Jun-21,Other,weighted,6,Other*,62.3-78.8%,0.710457027
12-Jun-21,Other,weighted,7,Other*,20.1-37.5%,0.282284588
12-Jun-21,Other,weighted,8,Other*,36.9-58.6%,0.476992935
12-Jun-21,Other,weighted,9,Other*,61.1-79.4%,0.708459616
12-Jun-21,Other,weighted,10,Other*,72.6-95.6%,0.870873749
19-Jun-21,VOC,weighted,USA,B.1.617.2,32.6-42.7%,0.375475138
19-Jun-21,VOC,weighted,USA,B.1.1.529,,0
19-Jun-21,VOC,weighted,1,B.1.617.2,17.5-31.1%,0.23831664
19-Jun-21,VOC,weighted,1,B.1.1.529,,0
19-Jun-21,VOC,weighted,2,B.1.617.2,27.1-50.6%,0.383674771
19-Jun-21,VOC,weighted,2,B.1.1.529,,0
19-Jun-21,VOC,weighted,3,B.1.617.2,9.6-25.4%,0.164303869
19-Jun-21,VOC,weighted,3,B.1.1.529,,0
19-Jun-21,VOC,weighted,4,B.1.617.2,21.2-30.0%,0.25412187
19-Jun-21,VOC,weighted,4,B.1.1.529,,0
19-Jun-21,VOC,weighted,5,B.1.617.2,22.8-41.1%,0.313954294
19-Jun-21,VOC,weighted,5,B.1.1.529,,0
19-Jun-21,VOC,weighted,6,B.1.617.2,29.6-47.4%,0.382092476
19-Jun-21,VOC,weighted,6,B.1.1.529,,0
19-Jun-21,VOC,weighted,7,B.1.617.2,62.9-89.7%,0.784605801
19-Jun-21,VOC,weighted,7,B.1.1.529,,0
19-Jun-21,VOC,weighted,8,B.1.617.2,47.5-73.1%,0.608520389
19-Jun-21,VOC,weighted,8,B.1.1.529,,0
19-Jun-21,VOC,weighted,9,B.1.617.2,37.9-51.6%,0.446544588
19-Jun-21,VOC,weighted,9,B.1.1.529,,0
19-Jun-21,VOC,weighted,10,B.1.617.2,10.0-32.9%,0.196663827
19-Jun-21,VOC,weighted,10,B.1.1.529,,0
19-Jun-21,Other,weighted,USA,Other*,57.3-67.4%,0.624524891
19-Jun-21,Other,weighted,1,Other*,68.9-82.5%,0.761683345
19-Jun-21,Other,weighted,2,Other*,49.4-72.9%,0.616325259
19-Jun-21,Other,weighted,3,Other*,74.6-90.4%,0.835696161
19-Jun-21,Other,weighted,4,Other*,70.0-78.8%,0.7458781
19-Jun-21,Other,weighted,5,Other*,58.9-77.2%,0.686045706
19-Jun-21,Other,weighted,6,Other*,52.6-70.4%,0.617907524
19-Jun-21,Other,weighted,7,Other*,10.3-37.1%,0.215394184
19-Jun-21,Other,weighted,8,Other*,26.9-52.5%,0.391479641
19-Jun-21,Other,weighted,9,Other*,48.4-62.1%,0.553455412
19-Jun-21,Other,weighted,10,Other*,67.1-90.0%,0.803336203
26-Jun-21,VOC,weighted,USA,B.1.617.2,49.9-59.6%,0.548024893
26-Jun-21,VOC,weighted,USA,B.1.1.529,,0
26-Jun-21,VOC,weighted,1,B.1.617.2,25.8-45.9%,0.353743255
26-Jun-21,VOC,weighted,1,B.1.1.529,,0
26-Jun-21,VOC,weighted,2,B.1.617.2,35.7-72.7%,0.546450436
26-Jun-21,VOC,weighted,2,B.1.1.529,,0
26-Jun-21,VOC,weighted,3,B.1.617.2,22.5-73.9%,0.477528542
26-Jun-21,VOC,weighted,3,B.1.1.529,,0
26-Jun-21,VOC,weighted,4,B.1.617.2,38.4-47.2%,0.42768091
26-Jun-21,VOC,weighted,4,B.1.1.529,,0
26-Jun-21,VOC,weighted,5,B.1.617.2,40.6-60.8%,0.507089376
26-Jun-21,VOC,weighted,5,B.1.1.529,,0
26-Jun-21,VOC,weighted,6,B.1.617.2,48.8-59.5%,0.542113602
26-Jun-21,VOC,weighted,6,B.1.1.529,,0
26-Jun-21,VOC,weighted,7,B.1.617.2,73.1-96.1%,0.877785683
26-Jun-21,VOC,weighted,7,B.1.1.529,,0
26-Jun-21,VOC,weighted,8,B.1.617.2,66.0-86.2%,0.772342443
26-Jun-21,VOC,weighted,8,B.1.1.529,,0
26-Jun-21,VOC,weighted,9,B.1.617.2,51.5-68.6%,0.603131175
26-Jun-21,VOC,weighted,9,B.1.1.529,,0
26-Jun-21,VOC,weighted,10,B.1.617.2,17.1-55.3%,0.343509316
26-Jun-21,VOC,weighted,10,B.1.1.529,,0
26-Jun-21,Other,weighted,USA,Other*,40.4-50.1%,0.451975077
26-Jun-21,Other,weighted,1,Other*,54.1-74.2%,0.646256745
26-Jun-21,Other,weighted,2,Other*,27.3-64.3%,0.453549564
26-Jun-21,Other,weighted,3,Other*,26.1-77.5%,0.522471428
26-Jun-21,Other,weighted,4,Other*,52.8-61.6%,0.57231909
26-Jun-21,Other,weighted,5,Other*,39.2-59.4%,0.492910624
26-Jun-21,Other,weighted,6,Other*,40.5-51.2%,0.457886368
26-Jun-21,Other,weighted,7,Other*,3.9-26.9%,0.122214332
26-Jun-21,Other,weighted,8,Other*,13.8-34.0%,0.227657542
26-Jun-21,Other,weighted,9,Other*,31.4-48.5%,0.396868795
26-Jun-21,Other,weighted,10,Other*,44.7-82.9%,0.656490684
03-Jul-21,VOC,weighted,USA,B.1.617.2,67.1-73.1%,0.701283813
03-Jul-21,VOC,weighted,USA,B.1.1.529,,0
03-Jul-21,VOC,weighted,1,B.1.617.2,42.1-58.8%,0.50459075
03-Jul-21,VOC,weighted,1,B.1.1.529,,0
03-Jul-21,VOC,weighted,2,B.1.617.2,53.6-79.2%,0.673353434
03-Jul-21,VOC,weighted,2,B.1.1.529,,0
03-Jul-21,VOC,weighted,3,B.1.617.2,50.2-67.7%,0.592003107
03-Jul-21,VOC,weighted,3,B.1.1.529,,0
03-Jul-21,VOC,weighted,4,B.1.617.2,59.2-69.3%,0.643248022
03-Jul-21,VOC,weighted,4,B.1.1.529,,0
03-Jul-21,VOC,weighted,5,B.1.617.2,60.7-72.6%,0.668751001
03-Jul-21,VOC,weighted,5,B.1.1.529,,0
03-Jul-21,VOC,weighted,6,B.1.617.2,64.4-74.4%,0.69580543
03-Jul-21,VOC,weighted,6,B.1.1.529,,0
03-Jul-21,VOC,weighted,7,B.1.617.2,85.9-98.2%,0.939809799
03-Jul-21,VOC,weighted,7,B.1.1.529,,0
03-Jul-21,VOC,weighted,8,B.1.617.2,81.1-90.2%,0.86086309
03-Jul-21,VOC,weighted,8,B.1.1.529,,0
03-Jul-21,VOC,weighted,9,B.1.617.2,65.2-79.4%,0.727481663
03-Jul-21,VOC,weighted,9,B.1.1.529,,0
03-Jul-21,VOC,weighted,10,B.1.617.2,42.3-65.3%,0.539656878
03-Jul-21,VOC,weighted,10,B.1.1.529,,0
03-Jul-21,Other,weighted,USA,Other*,26.9-32.9%,0.298716217
03-Jul-21,Other,weighted,1,Other*,41.2-57.9%,0.49540925
03-Jul-21,Other,weighted,2,Other*,20.8-46.4%,0.326646566
03-Jul-21,Other,weighted,3,Other*,32.3-49.8%,0.407996923
03-Jul-21,Other,weighted,4,Other*,30.7-40.8%,0.356751978
03-Jul-21,Other,weighted,5,Other*,27.4-39.3%,0.331248999
03-Jul-21,Other,weighted,6,Other*,25.6-35.6%,0.30419457
03-Jul-21,Other,weighted,7,Other*,1.8-14.1%,0.060190186
03-Jul-21,Other,weighted,8,Other*,9.8-18.9%,0.139136925
03-Jul-21,Other,weighted,9,Other*,20.6-34.8%,0.272518337
03-Jul-21,Other,weighted,10,Other*,34.7-57.7%,0.460343152
10-Jul-21,VOC,weighted,USA,B.1.617.2,80.1-84.0%,0.821342707
10-Jul-21,VOC,weighted,USA,B.1.1.529,,0
10-Jul-21,VOC,weighted,1,B.1.617.2,72.3-83.4%,0.782022715
10-Jul-21,VOC,weighted,1,B.1.1.529,,0
10-Jul-21,VOC,weighted,2,B.1.617.2,68.1-88.8%,0.798981369
10-Jul-21,VOC,weighted,2,B.1.1.529,,0
10-Jul-21,VOC,weighted,3,B.1.617.2,61.8-77.4%,0.700281382
10-Jul-21,VOC,weighted,3,B.1.1.529,,0
10-Jul-21,VOC,weighted,4,B.1.617.2,74.1-82.2%,0.783530891
10-Jul-21,VOC,weighted,4,B.1.1.529,,0
10-Jul-21,VOC,weighted,5,B.1.617.2,82.9-88.8%,0.86060065
10-Jul-21,VOC,weighted,5,B.1.1.529,,0
10-Jul-21,VOC,weighted,6,B.1.617.2,77.5-86.0%,0.820166767
10-Jul-21,VOC,weighted,6,B.1.1.529,,0
10-Jul-21,VOC,weighted,7,B.1.617.2,92.7-97.5%,0.95539701
10-Jul-21,VOC,weighted,7,B.1.1.529,,0
10-Jul-21,VOC,weighted,8,B.1.617.2,83.5-89.9%,0.869617283
10-Jul-21,VOC,weighted,8,B.1.1.529,,0
10-Jul-21,VOC,weighted,9,B.1.617.2,80.4-87.4%,0.84145534
10-Jul-21,VOC,weighted,9,B.1.1.529,,0
10-Jul-21,VOC,weighted,10,B.1.617.2,64.3-83.7%,0.748771489
10-Jul-21,VOC,weighted,10,B.1.1.529,,0
10-Jul-21,Other,weighted,USA,Other*,16.0-19.9%,0.178657278
10-Jul-21,Other,weighted,1,Other*,16.6-27.7%,0.2179773
10-Jul-21,Other,weighted,2,Other*,11.2-31.9%,0.201018631
10-Jul-21,Other,weighted,3,Other*,22.6-38.2%,0.299718618
10-Jul-21,Other,weighted,4,Other*,17.8-25.9%,0.216469094
10-Jul-21,Other,weighted,5,Other*,11.2-17.1%,0.139399335
10-Jul-21,Other,weighted,6,Other*,14.0-22.5%,0.179833233
10-Jul-21,Other,weighted,7,Other*,2.5-7.3%,0.044602964
10-Jul-21,Other,weighted,8,Other*,10.1-16.5%,0.130382732
10-Jul-21,Other,weighted,9,Other*,12.6-19.6%,0.158544645
10-Jul-21,Other,weighted,10,Other*,16.3-35.7%,0.251228482
17-Jul-21,VOC,weighted,USA,B.1.617.2,86.3-89.5%,0.879938781
17-Jul-21,VOC,weighted,USA,B.1.1.529,,0
17-Jul-21,VOC,weighted,1,B.1.617.2,89.3-93.9%,0.917808652
17-Jul-21,VOC,weighted,1,B.1.1.529,,0
17-Jul-21,VOC,weighted,2,B.1.617.2,75.5-89.9%,0.836514175
17-Jul-21,VOC,weighted,2,B.1.1.529,,0
17-Jul-21,VOC,weighted,3,B.1.617.2,79.6-88.1%,0.842173696
17-Jul-21,VOC,weighted,3,B.1.1.529,,0
17-Jul-21,VOC,weighted,4,B.1.617.2,83.2-89.6%,0.86654371
17-Jul-21,VOC,weighted,4,B.1.1.529,,0
17-Jul-21,VOC,weighted,5,B.1.617.2,86.2-92.5%,0.896668673
17-Jul-21,VOC,weighted,5,B.1.1.529,,0
17-Jul-21,VOC,weighted,6,B.1.617.2,80.8-88.6%,0.850349844
17-Jul-21,VOC,weighted,6,B.1.1.529,,0
17-Jul-21,VOC,weighted,7,B.1.617.2,92.7-98.7%,0.965891719
17-Jul-21,VOC,weighted,7,B.1.1.529,,0
17-Jul-21,VOC,weighted,8,B.1.617.2,90.0-95.5%,0.931346655
17-Jul-21,VOC,weighted,8,B.1.1.529,,0
17-Jul-21,VOC,weighted,9,B.1.617.2,87.9-91.5%,0.89815259
17-Jul-21,VOC,weighted,9,B.1.1.529,,0
17-Jul-21,VOC,weighted,10,B.1.617.2,79.7-90.8%,0.859147489
17-Jul-21,VOC,weighted,10,B.1.1.529,,0
17-Jul-21,Other,weighted,USA,Other*,10.5-13.7%,0.120061226
17-Jul-21,Other,weighted,1,Other*,6.1-10.7%,0.082191348
17-Jul-21,Other,weighted,2,Other*,10.1-24.5%,0.16348581
17-Jul-21,Other,weighted,3,Other*,11.9-20.4%,0.15782629
17-Jul-21,Other,weighted,4,Other*,10.4-16.8%,0.133456275
17-Jul-21,Other,weighted,5,Other*,7.5-13.8%,0.103331313
17-Jul-21,Other,weighted,6,Other*,11.4-19.2%,0.149650127
17-Jul-21,Other,weighted,7,Other*,1.3-7.3%,0.034108289
17-Jul-21,Other,weighted,8,Other*,4.5-10.0%,0.068653367
17-Jul-21,Other,weighted,9,Other*,8.5-12.1%,0.101847425
17-Jul-21,Other,weighted,10,Other*,9.2-20.3%,0.140852541
24-Jul-21,VOC,weighted,USA,B.1.617.2,93.8-95.1%,0.94461906
24-Jul-21,VOC,weighted,USA,B.1.1.529,,0
24-Jul-21,VOC,weighted,1,B.1.617.2,94.1-97.0%,0.957479537
24-Jul-21,VOC,weighted,1,B.1.1.529,,0
24-Jul-21,VOC,weighted,2,B.1.617.2,92.8-96.1%,0.946238935
24-Jul-21,VOC,weighted,2,B.1.1.529,,0
24-Jul-21,VOC,weighted,3,B.1.617.2,90.4-95.3%,0.931880176
24-Jul-21,VOC,weighted,3,B.1.1.529,,0
24-Jul-21,VOC,weighted,4,B.1.617.2,92.2-95.0%,0.93716377
24-Jul-21,VOC,weighted,4,B.1.1.529,,0
24-Jul-21,VOC,weighted,5,B.1.617.2,93.3-96.6%,0.951637328
24-Jul-21,VOC,weighted,5,B.1.1.529,,0
24-Jul-21,VOC,weighted,6,B.1.617.2,91.8-96.1%,0.942349017
24-Jul-21,VOC,weighted,6,B.1.1.529,,0
24-Jul-21,VOC,weighted,7,B.1.617.2,95.9-98.8%,0.976274729
24-Jul-21,VOC,weighted,7,B.1.1.529,,0
24-Jul-21,VOC,weighted,8,B.1.617.2,94.8-97.3%,0.961894095
24-Jul-21,VOC,weighted,8,B.1.1.529,,0
24-Jul-21,VOC,weighted,9,B.1.617.2,94.0-95.8%,0.949404776
24-Jul-21,VOC,weighted,9,B.1.1.529,,0
24-Jul-21,VOC,weighted,10,B.1.617.2,90.8-93.9%,0.924380779
24-Jul-21,VOC,weighted,10,B.1.1.529,,0
24-Jul-21,Other,weighted,USA,Other*,4.9-6.2%,0.055380963
24-Jul-21,Other,weighted,1,Other*,3.0-5.9%,0.042520463
24-Jul-21,Other,weighted,2,Other*,3.9-7.2%,0.053761076
24-Jul-21,Other,weighted,3,Other*,4.7-9.6%,0.068119824
24-Jul-21,Other,weighted,4,Other*,5.0-7.8%,0.062836215
24-Jul-21,Other,weighted,5,Other*,3.4-6.7%,0.048362691
24-Jul-21,Other,weighted,6,Other*,3.9-8.2%,0.057650961
24-Jul-21,Other,weighted,7,Other*,1.2-4.1%,0.023725273
24-Jul-21,Other,weighted,8,Other*,2.7-5.2%,0.038105875
24-Jul-21,Other,weighted,9,Other*,4.2-6.0%,0.050595235
24-Jul-21,Other,weighted,10,Other*,6.1-9.2%,0.075619191
31-Jul-21,VOC,weighted,USA,B.1.617.2,96.0-97.1%,0.96565038
31-Jul-21,VOC,weighted,USA,B.1.1.529,,0
31-Jul-21,VOC,weighted,1,B.1.617.2,94.7-97.0%,0.96003437
31-Jul-21,VOC,weighted,1,B.1.1.529,,0
